tech,unit,head
Bhumibol,m,154.0
Sirikit,m,113.6
Chulabhorn,m,70.0
Nam_Pung,m,41.0
Pak_Mun,m,17.0
Siridhorn,m,42.0
Ubol_Ratana,m,32.0
Bang_Lang,m,85.0
Kaeng_Krachan,m,58.0
Rajjaprabha,m,94.0
Srinagarind,m,140.0
Tha_Thung_Na,m,30.0
Vajiralongkorn,m,92.0
