tech,unit,outflow_min
Bhumibol,m3/s,0.0
Sirikit,m3/s,0.0
Chulabhorn,m3/s,0.0
Nam_Pung,m3/s,0.0
Pak_Mun,m3/s,0.0
Siridhorn,m3/s,0.0
Ubol_Ratana,m3/s,0.0
Bang_Lang,m3/s,0.0
Kaeng_Krachan,m3/s,0.0
Rajjaprabha,m3/s,0.0
Srinagarind,m3/s,0.0
Tha_Thung_Na,m3/s,0.0
Vajiralongkorn,m3/s,0.0
