tech,unit,capacity_min
Bhumibol,MW,0.0
Sirikit,MW,0.0
Chulabhorn,MW,0.0
Nam_Pung,MW,0.0
Pak_Mun,MW,0.0
Siridhorn,MW,0.0
Ubol_Ratana,MW,0.0
Bang_Lang,MW,0.0
Kaeng_Krachan,MW,0.0
Rajjaprabha,MW,0.0
Srinagarind,MW,0.0
Tha_Thung_Na,MW,0.0
Vajiralongkorn,MW,0.0
