tech,zone,year,month,hour,unit,value
Solar,Thailand,2023,1,133,fraction,0.462
Solar,Thailand,2023,1,134,fraction,0.454
Solar,Thailand,2023,1,135,fraction,0.417
Solar,Thailand,2023,1,136,fraction,0.347
Solar,Thailand,2023,1,137,fraction,0.238
Solar,Thailand,2023,1,138,fraction,0.126
Solar,Thailand,2023,1,139,fraction,0.027
Solar,Thailand,2023,1,140,fraction,0.0
Solar,Thailand,2023,1,141,fraction,0.0
Solar,Thailand,2023,1,142,fraction,0.0
Solar,Thailand,2023,1,143,fraction,0.0
Solar,Thailand,2023,1,144,fraction,0.0
Solar,Thailand,2023,1,145,fraction,0.0
Solar,Thailand,2023,1,146,fraction,0.0
Solar,Thailand,2023,1,147,fraction,0.0
Solar,Thailand,2023,1,148,fraction,0.0
Solar,Thailand,2023,1,149,fraction,0.0
Solar,Thailand,2023,1,150,fraction,0.0
Solar,Thailand,2023,1,151,fraction,0.0
Solar,Thailand,2023,1,152,fraction,0.035
Solar,Thailand,2023,1,153,fraction,0.2
Solar,Thailand,2023,1,154,fraction,0.354
Solar,Thailand,2023,1,155,fraction,0.489
Solar,Thailand,2023,1,156,fraction,0.571
Solar,Thailand,2023,1,157,fraction,0.662
Solar,Thailand,2023,1,158,fraction,0.674
Solar,Thailand,2023,1,159,fraction,0.638
Solar,Thailand,2023,1,160,fraction,0.547
Solar,Thailand,2023,1,161,fraction,0.408
Solar,Thailand,2023,1,162,fraction,0.227
Solar,Thailand,2023,1,163,fraction,0.058
Solar,Thailand,2023,1,164,fraction,0.0
Solar,Thailand,2023,1,165,fraction,0.0
Solar,Thailand,2023,1,166,fraction,0.0
Solar,Thailand,2023,1,167,fraction,0.0
Solar,Thailand,2023,1,168,fraction,0.0
Solar,Thailand,2023,1,169,fraction,0.0
Solar,Thailand,2023,1,170,fraction,0.0
Solar,Thailand,2023,1,171,fraction,0.0
Solar,Thailand,2023,1,172,fraction,0.0
Solar,Thailand,2023,1,173,fraction,0.0
Solar,Thailand,2023,1,174,fraction,0.0
Solar,Thailand,2023,1,175,fraction,0.0
Solar,Thailand,2023,1,176,fraction,0.008
Solar,Thailand,2023,1,177,fraction,0.078
Solar,Thailand,2023,1,178,fraction,0.173
Solar,Thailand,2023,1,179,fraction,0.28
Solar,Thailand,2023,1,180,fraction,0.37
Solar,Thailand,2023,1,181,fraction,0.416
Solar,Thailand,2023,1,182,fraction,0.417
Solar,Thailand,2023,1,183,fraction,0.39
Solar,Thailand,2023,1,184,fraction,0.315
Solar,Thailand,2023,1,185,fraction,0.202
Solar,Thailand,2023,1,186,fraction,0.1
Solar,Thailand,2023,1,187,fraction,0.017
Solar,Thailand,2023,1,188,fraction,0.0
Solar,Thailand,2023,1,189,fraction,0.0
Solar,Thailand,2023,1,190,fraction,0.0
Solar,Thailand,2023,1,191,fraction,0.0
Solar,Thailand,2023,1,192,fraction,0.0
Solar,Thailand,2023,1,193,fraction,0.0
Solar,Thailand,2023,1,194,fraction,0.0
Solar,Thailand,2023,1,195,fraction,0.0
Solar,Thailand,2023,1,196,fraction,0.0
Solar,Thailand,2023,1,197,fraction,0.0
Solar,Thailand,2023,1,198,fraction,0.0
Solar,Thailand,2023,1,199,fraction,0.0
Solar,Thailand,2023,1,200,fraction,0.009
Solar,Thailand,2023,1,201,fraction,0.084
Solar,Thailand,2023,1,202,fraction,0.192
Solar,Thailand,2023,1,203,fraction,0.272
