tech,unit,value
Bhumibol,m3,11852080000.0
Sirikit,m3,6328470000.0
Chulabhorn,m3,143460000.0
Nam_Pung,m3,87120000.0
Pak_Mun,m3,0.0
Siridhorn,m3,1615790000.0
Ubol_Ratana,m3,1955250000.0
Bang_Lang,m3,1229930000.0
Kaeng_Krachan,m3,493340000.0
Rajjaprabha,m3,3749360000.0
Srinagarind,m3,15817790000.0
Tha_Thung_Na,m3,44110000.0
Vajiralongkorn,m3,5859040000.0
