tech,unit,value
Coal,fraction,0.4
Gas,fraction,1.0
Bioenergy,fraction,0.4
Large Hydropower,fraction,1.0
Solar,fraction,1.0
Wind,fraction,1.0
HPS,fraction,1.0
Bhumibol,fraction,1.0
Sirikit,fraction,1.0
Chulabhorn,fraction,1.0
Nam_Pung,fraction,1.0
Pak_Mun,fraction,1.0
Siridhorn,fraction,1.0
Ubol_Ratana,fraction,1.0
Bang_Lang,fraction,1.0
Kaeng_Krachan,fraction,1.0
Rajjaprabha,fraction,1.0
Srinagarind,fraction,1.0
Tha_Thung_Na,fraction,1.0
Vajiralongkorn,fraction,1.0
