tech,unit,generation_flow_max
Bhumibol,m3/s,699.22
Sirikit,m3/s,665.51
Chulabhorn,m3/s,13.6
Nam_Pung,m3/s,8.22
Pak_Mun,m3/s,1349.09
Siridhorn,m3/s,138.77
Ubol_Ratana,m3/s,199.49
Bang_Lang,m3/s,157.76
Kaeng_Krachan,m3/s,4610.13
Rajjaprabha,m3/s,332.08
Srinagarind,m3/s,410.59
Tha_Thung_Na,m3/s,269.48
Vajiralongkorn,m3/s,486.69
