tech,eligible
Coal,1
Gas,1
Bioenergy,1
Solar,0
Wind,0
HPS,0
Bhumibol,0
Sirikit,0
Chulabhorn,0
Nam_Pung,0
Pak_Mun,0
Siridhorn,0
Ubol_Ratana,0
Bang_Lang,0
Kaeng_Krachan,0
Rajjaprabha,0
Srinagarind,0
Tha_Thung_Na,0
Vajiralongkorn,0
