tech,unit,value
Coal,,250.0
Gas,,150.0
Bioenergy,,30.0
Solar,,1.0
Wind,,1.0
HPS,,1.0
Bhumibol,,1.0
Sirikit,,1.0
Chulabhorn,,1.0
Nam_Pung,,1.0
Pak_Mun,,1.0
Siridhorn,,1.0
Ubol_Ratana,,1.0
Bang_Lang,,1.0
Kaeng_Krachan,,1.0
Rajjaprabha,,1.0
Srinagarind,,1.0
Tha_Thung_Na,,1.0
Vajiralongkorn,,1.0
