tech,unit,outflow_max
Bhumibol,m3/s,6992.200000000001
Sirikit,m3/s,6655.1
Chulabhorn,m3/s,136.0
Nam_Pung,m3/s,82.2
Pak_Mun,m3/s,13490.9
Siridhorn,m3/s,1387.7
Ubol_Ratana,m3/s,1994.9
Bang_Lang,m3/s,1577.6
Kaeng_Krachan,m3/s,46101.3
Rajjaprabha,m3/s,3320.7999999999997
Srinagarind,m3/s,4105.9
Tha_Thung_Na,m3/s,2694.8
Vajiralongkorn,m3/s,4866.9
