tech,unit,value
Coal,,150.0
Gas,,100.0
Bioenergy,,70.0
Solar,,0.0
Wind,,0.0
HPS,,0.0
Bhumibol,,0.0
Sirikit,,0.0
Chulabhorn,,0.0
Nam_Pung,,0.0
Pak_Mun,,0.0
Siridhorn,,0.0
Ubol_Ratana,,0.0
Bang_Lang,,0.0
Kaeng_Krachan,,0.0
Rajjaprabha,,0.0
Srinagarind,,0.0
Tha_Thung_Na,,0.0
Vajiralongkorn,,0.0
