tech,unit,capacity_max
Bhumibol,MW,779.2
Sirikit,MW,500.0
Chulabhorn,MW,40.0
Nam_Pung,MW,6.3
Pak_Mun,MW,136.0
Siridhorn,MW,36.0
Ubol_Ratana,MW,25.2
Bang_Lang,MW,84.0
Kaeng_Krachan,MW,19.0
Rajjaprabha,MW,240.0
Srinagarind,MW,720.0
Tha_Thung_Na,MW,39.0
Vajiralongkorn,MW,300.0
