zone,year,month,hour,unit,value
Thailand,2023,1,146,MW,18382.40666666667
Thailand,2023,1,147,MW,17853.96833333333
Thailand,2023,1,148,MW,17542.66
Thailand,2023,1,149,MW,17438.50666666667
Thailand,2023,1,150,MW,18032.84666666667
Thailand,2023,1,151,MW,18952.07
Thailand,2023,1,152,MW,18833.41833333333
Thailand,2023,1,153,MW,19958.39166666667
Thailand,2023,1,154,MW,20275.9
Thailand,2023,1,155,MW,20044.75333333333
Thailand,2023,1,156,MW,19470.51833333333
Thailand,2023,1,157,MW,18207.57
Thailand,2023,1,158,MW,19833.32666666666
Thailand,2023,1,159,MW,20380.965
Thailand,2023,1,160,MW,21022.30666666667
Thailand,2023,1,161,MW,21130.91666666666
Thailand,2023,1,162,MW,21040.09333333333
Thailand,2023,1,163,MW,23428.985
Thailand,2023,1,164,MW,22946.8
Thailand,2023,1,165,MW,22101.305
Thailand,2023,1,166,MW,21215.7
Thailand,2023,1,167,MW,20395.875
Thailand,2023,1,168,MW,19396.395
Thailand,2023,1,169,MW,18273.00166666667
Thailand,2023,1,170,MW,17844.48
Thailand,2023,1,171,MW,17274.43666666667
Thailand,2023,1,172,MW,16966.07333333334
Thailand,2023,1,173,MW,16938.27166666666
Thailand,2023,1,174,MW,17510.36666666667
Thailand,2023,1,175,MW,17926.99333333334
Thailand,2023,1,176,MW,17284.33166666667
Thailand,2023,1,177,MW,17161.82666666666
Thailand,2023,1,178,MW,17064.625
Thailand,2023,1,179,MW,16928.55833333333
Thailand,2023,1,180,MW,16761.97
Thailand,2023,1,181,MW,16326.005
Thailand,2023,1,182,MW,16978.44333333333
Thailand,2023,1,183,MW,17329.01833333333
Thailand,2023,1,184,MW,17903.55833333333
Thailand,2023,1,185,MW,18444.45666666667
Thailand,2023,1,186,MW,19332.275
Thailand,2023,1,187,MW,21724.595
Thailand,2023,1,188,MW,21698.33666666666
Thailand,2023,1,189,MW,20958.795
Thailand,2023,1,190,MW,19965.43
Thailand,2023,1,191,MW,18994.475
Thailand,2023,1,192,MW,17915.78
Thailand,2023,1,193,MW,16894.33666666667
Thailand,2023,1,194,MW,16389.515
Thailand,2023,1,195,MW,15978.58999999999
Thailand,2023,1,196,MW,15720.65333333333
Thailand,2023,1,197,MW,15760.84333333333
Thailand,2023,1,198,MW,17062.16666666667
Thailand,2023,1,199,MW,18746.44333333334
Thailand,2023,1,200,MW,18707.52333333333
Thailand,2023,1,201,MW,20268.455
Thailand,2023,1,202,MW,20663.265
Thailand,2023,1,203,MW,20587.37833333333
Thailand,2023,1,204,MW,20062.00666666666
Thailand,2023,1,205,MW,18747.155
Thailand,2023,1,206,MW,21150.665
Thailand,2023,1,207,MW,21972.985
Thailand,2023,1,208,MW,22529.35833333333
Thailand,2023,1,209,MW,22496.70833333333
Thailand,2023,1,210,MW,22074.925
Thailand,2023,1,211,MW,24378.57833333334
Thailand,2023,1,212,MW,24050.61333333333
Thailand,2023,1,213,MW,23025.98333333333
Thailand,2023,1,214,MW,21963.02333333333
Thailand,2023,1,215,MW,21884.565
Thailand,2023,1,216,MW,21019.13666666667
Thailand,2023,1,217,MW,19760.27166666666
Thailand,2023,1,218,MW,19390.08833333333
Thailand,2023,1,219,MW,18830.92666666667
Thailand,2023,1,220,MW,18823.4
Thailand,2023,1,221,MW,18983.34833333333
Thailand,2023,1,222,MW,20080.23166666666
Thailand,2023,1,223,MW,21415.0
Thailand,2023,1,224,MW,21185.23500000001
Thailand,2023,1,225,MW,22545.82666666666
Thailand,2023,1,226,MW,22719.38166666667
Thailand,2023,1,227,MW,22767.91833333334
Thailand,2023,1,228,MW,22168.20166666666
Thailand,2023,1,229,MW,20811.22333333333
Thailand,2023,1,230,MW,22956.49333333334
Thailand,2023,1,231,MW,23471.81166666666
Thailand,2023,1,232,MW,23639.2
Thailand,2023,1,233,MW,23466.675
Thailand,2023,1,234,MW,22916.99833333333
Thailand,2023,1,235,MW,24989.13666666667
Thailand,2023,1,236,MW,24673.68333333333
Thailand,2023,1,237,MW,23815.32333333333
Thailand,2023,1,238,MW,22642.59166666666
Thailand,2023,1,239,MW,22458.91333333333
Thailand,2023,1,240,MW,21337.13333333334
Thailand,2023,1,241,MW,20126.525
Thailand,2023,1,242,MW,19885.08166666667
Thailand,2023,1,243,MW,19415.36333333333
Thailand,2023,1,244,MW,19012.79833333333
Thailand,2023,1,245,MW,19094.43166666667
Thailand,2023,1,246,MW,20203.30833333333
Thailand,2023,1,247,MW,21669.13666666667
Thailand,2023,1,248,MW,21203.87666666666
Thailand,2023,1,249,MW,22552.15833333333
