tech,unit,coefficient
Bhumibol,fraction,8.5
Sirikit,fraction,8.5
Chulabhorn,fraction,8.5
Nam_Pung,fraction,8.5
Pak_Mun,fraction,8.5
Siridhorn,fraction,8.5
Ubol_Ratana,fraction,8.5
Bang_Lang,fraction,8.5
Kaeng_Krachan,fraction,8.5
Rajjaprabha,fraction,8.5
Srinagarind,fraction,8.5
Tha_Thung_Na,fraction,8.5
Vajiralongkorn,fraction,8.5
