tech,zone,year,month,hour,unit,value
Solar,BA1,2022,1,25,fraction,0.0
Solar,BA1,2022,1,26,fraction,0.0
Solar,BA1,2022,1,27,fraction,0.0
Solar,BA1,2022,1,28,fraction,0.0
Solar,BA1,2022,1,29,fraction,0.0
Solar,BA1,2022,1,30,fraction,0.0
Solar,BA1,2022,1,31,fraction,0.0
Solar,BA1,2022,1,32,fraction,0.001
Solar,BA1,2022,1,33,fraction,0.13
Solar,BA1,2022,1,34,fraction,0.155
Solar,BA1,2022,1,35,fraction,0.136
Solar,BA1,2022,1,36,fraction,0.28
Solar,BA1,2022,1,37,fraction,0.421
Solar,BA1,2022,1,38,fraction,0.468
Solar,BA1,2022,1,39,fraction,0.333
Solar,BA1,2022,1,40,fraction,0.114
Solar,BA1,2022,1,41,fraction,0.0
Solar,BA1,2022,1,42,fraction,0.0
Solar,BA1,2022,1,43,fraction,0.0
Solar,BA1,2022,1,44,fraction,0.0
Solar,BA1,2022,1,45,fraction,0.0
Solar,BA1,2022,1,46,fraction,0.0
Solar,BA1,2022,1,47,fraction,0.0
Solar,BA1,2022,1,48,fraction,0.0
Solar,BA1,2023,1,1,fraction,0.0
Solar,BA1,2023,1,2,fraction,0.0
Solar,BA1,2023,1,3,fraction,0.0
Solar,BA1,2023,1,4,fraction,0.0
Solar,BA1,2023,1,5,fraction,0.0
Solar,BA1,2023,1,6,fraction,0.0
Solar,BA1,2023,1,7,fraction,0.0
Solar,BA1,2023,1,8,fraction,0.0
Solar,BA1,2023,1,9,fraction,0.011
Solar,BA1,2023,1,10,fraction,0.046
Solar,BA1,2023,1,11,fraction,0.09
Solar,BA1,2023,1,12,fraction,0.15
Solar,BA1,2023,1,13,fraction,0.223
Solar,BA1,2023,1,14,fraction,0.217
Solar,BA1,2023,1,15,fraction,0.2
Solar,BA1,2023,1,16,fraction,0.09
Solar,BA1,2023,1,17,fraction,0.0
Solar,BA1,2023,1,18,fraction,0.0
Solar,BA1,2023,1,19,fraction,0.0
Solar,BA1,2023,1,20,fraction,0.0
Solar,BA1,2023,1,21,fraction,0.0
Solar,BA1,2023,1,22,fraction,0.0
Solar,BA1,2023,1,23,fraction,0.0
Solar,BA1,2023,1,24,fraction,0.0
Solar,BA1,2023,1,25,fraction,0.0
Solar,BA1,2023,1,26,fraction,0.0
Solar,BA1,2023,1,27,fraction,0.0
Solar,BA1,2023,1,28,fraction,0.0
Solar,BA1,2023,1,29,fraction,0.0
Solar,BA1,2023,1,30,fraction,0.0
Solar,BA1,2023,1,31,fraction,0.0
Solar,BA1,2023,1,32,fraction,0.001
Solar,BA1,2023,1,33,fraction,0.13
Solar,BA1,2023,1,34,fraction,0.155
Solar,BA1,2023,1,35,fraction,0.136
Solar,BA1,2023,1,36,fraction,0.28
Solar,BA1,2023,1,37,fraction,0.421
Solar,BA1,2023,1,38,fraction,0.468
Solar,BA1,2023,1,39,fraction,0.333
Solar,BA1,2023,1,40,fraction,0.114
Solar,BA1,2023,1,41,fraction,0.0
Solar,BA1,2023,1,42,fraction,0.0
Solar,BA1,2023,1,43,fraction,0.0
Solar,BA1,2023,1,44,fraction,0.0
Solar,BA1,2023,1,45,fraction,0.0
Solar,BA1,2023,1,46,fraction,0.0
Solar,BA1,2023,1,47,fraction,0.0
Solar,BA1,2023,1,48,fraction,0.0
Solar,BA1,2024,1,1,fraction,0.0
Solar,BA1,2024,1,2,fraction,0.0
Solar,BA1,2024,1,3,fraction,0.0
Solar,BA1,2024,1,4,fraction,0.0
Solar,BA1,2024,1,5,fraction,0.0
Solar,BA1,2024,1,6,fraction,0.0
Solar,BA1,2024,1,7,fraction,0.0
Solar,BA1,2024,1,8,fraction,0.0
Solar,BA1,2024,1,9,fraction,0.011
Solar,BA1,2024,1,10,fraction,0.046
Solar,BA1,2024,1,11,fraction,0.09
Solar,BA1,2024,1,12,fraction,0.15
Solar,BA1,2024,1,13,fraction,0.223
Solar,BA1,2024,1,14,fraction,0.217
Solar,BA1,2024,1,15,fraction,0.2
Solar,BA1,2024,1,16,fraction,0.09
Solar,BA1,2024,1,17,fraction,0.0
Solar,BA1,2024,1,18,fraction,0.0
Solar,BA1,2024,1,19,fraction,0.0
Solar,BA1,2024,1,20,fraction,0.0
Solar,BA1,2024,1,21,fraction,0.0
Solar,BA1,2024,1,22,fraction,0.0
Solar,BA1,2024,1,23,fraction,0.0
Solar,BA1,2024,1,24,fraction,0.0
Solar,BA1,2024,1,25,fraction,0.0
Solar,BA1,2024,1,26,fraction,0.0
Solar,BA1,2024,1,27,fraction,0.0
Solar,BA1,2024,1,28,fraction,0.0
Solar,BA1,2024,1,29,fraction,0.0
Solar,BA1,2024,1,30,fraction,0.0
Solar,BA1,2024,1,31,fraction,0.0
Solar,BA1,2024,1,32,fraction,0.001
Solar,BA1,2024,1,33,fraction,0.13
Solar,BA1,2024,1,34,fraction,0.155
Solar,BA1,2024,1,35,fraction,0.136
Solar,BA1,2024,1,36,fraction,0.28
Solar,BA1,2024,1,37,fraction,0.421
Solar,BA1,2024,1,38,fraction,0.468
Solar,BA1,2024,1,39,fraction,0.333
Solar,BA1,2024,1,40,fraction,0.114
Solar,BA1,2024,1,41,fraction,0.0
Solar,BA1,2024,1,42,fraction,0.0
Solar,BA1,2024,1,43,fraction,0.0
Solar,BA1,2024,1,44,fraction,0.0
Solar,BA1,2024,1,45,fraction,0.0
Solar,BA1,2024,1,46,fraction,0.0
Solar,BA1,2024,1,47,fraction,0.0
Solar,BA1,2024,1,48,fraction,0.0
Solar,BA1,2025,1,1,fraction,0.0
Solar,BA1,2025,1,2,fraction,0.0
Solar,BA1,2025,1,3,fraction,0.0
Solar,BA1,2025,1,4,fraction,0.0
Solar,BA1,2025,1,5,fraction,0.0
Solar,BA1,2025,1,6,fraction,0.0
Solar,BA1,2025,1,7,fraction,0.0
Solar,BA1,2025,1,8,fraction,0.0
Solar,BA1,2025,1,9,fraction,0.011
Solar,BA1,2025,1,10,fraction,0.046
Solar,BA1,2025,1,11,fraction,0.09
Solar,BA1,2025,1,12,fraction,0.15
Solar,BA1,2025,1,13,fraction,0.223
Solar,BA1,2025,1,14,fraction,0.217
Solar,BA1,2025,1,15,fraction,0.2
Solar,BA1,2025,1,16,fraction,0.09
Solar,BA1,2025,1,17,fraction,0.0
Solar,BA1,2025,1,18,fraction,0.0
Solar,BA1,2025,1,19,fraction,0.0
Solar,BA1,2025,1,20,fraction,0.0
Solar,BA1,2025,1,21,fraction,0.0
Solar,BA1,2025,1,22,fraction,0.0
Solar,BA1,2025,1,23,fraction,0.0
Solar,BA1,2025,1,24,fraction,0.0
Solar,BA1,2025,1,25,fraction,0.0
Solar,BA1,2025,1,26,fraction,0.0
Solar,BA1,2025,1,27,fraction,0.0
Solar,BA1,2025,1,28,fraction,0.0
Solar,BA1,2025,1,29,fraction,0.0
Solar,BA1,2025,1,30,fraction,0.0
Solar,BA1,2025,1,31,fraction,0.0
Solar,BA1,2025,1,32,fraction,0.001
Solar,BA1,2025,1,33,fraction,0.13
Solar,BA1,2025,1,34,fraction,0.155
Solar,BA1,2025,1,35,fraction,0.136
Solar,BA1,2025,1,36,fraction,0.28
Solar,BA1,2025,1,37,fraction,0.421
Solar,BA1,2025,1,38,fraction,0.468
Solar,BA1,2025,1,39,fraction,0.333
Solar,BA1,2025,1,40,fraction,0.114
Solar,BA1,2025,1,41,fraction,0.0
Solar,BA1,2025,1,42,fraction,0.0
Solar,BA1,2025,1,43,fraction,0.0
Solar,BA1,2025,1,44,fraction,0.0
Solar,BA1,2025,1,45,fraction,0.0
Solar,BA1,2025,1,46,fraction,0.0
Solar,BA1,2025,1,47,fraction,0.0
Solar,BA1,2025,1,48,fraction,0.0
Solar,BA1,2026,1,1,fraction,0.0
Solar,BA1,2026,1,2,fraction,0.0
Solar,BA1,2026,1,3,fraction,0.0
Solar,BA1,2026,1,4,fraction,0.0
Solar,BA1,2026,1,5,fraction,0.0
Solar,BA1,2026,1,6,fraction,0.0
Solar,BA1,2026,1,7,fraction,0.0
Solar,BA1,2026,1,8,fraction,0.0
Solar,BA1,2026,1,9,fraction,0.011
Solar,BA1,2026,1,10,fraction,0.046
Solar,BA1,2026,1,11,fraction,0.09
Solar,BA1,2026,1,12,fraction,0.15
Solar,BA1,2026,1,13,fraction,0.223
Solar,BA1,2026,1,14,fraction,0.217
Solar,BA1,2026,1,15,fraction,0.2
Solar,BA1,2026,1,16,fraction,0.09
Solar,BA1,2026,1,17,fraction,0.0
Solar,BA1,2026,1,18,fraction,0.0
Solar,BA1,2026,1,19,fraction,0.0
Solar,BA1,2026,1,20,fraction,0.0
Solar,BA1,2026,1,21,fraction,0.0
Solar,BA1,2026,1,22,fraction,0.0
Solar,BA1,2026,1,23,fraction,0.0
Solar,BA1,2026,1,24,fraction,0.0
Solar,BA1,2026,1,25,fraction,0.0
Solar,BA1,2026,1,26,fraction,0.0
Solar,BA1,2026,1,27,fraction,0.0
Solar,BA1,2026,1,28,fraction,0.0
Solar,BA1,2026,1,29,fraction,0.0
Solar,BA1,2026,1,30,fraction,0.0
Solar,BA1,2026,1,31,fraction,0.0
Solar,BA1,2026,1,32,fraction,0.001
Solar,BA1,2026,1,33,fraction,0.13
Solar,BA1,2026,1,34,fraction,0.155
Solar,BA1,2026,1,35,fraction,0.136
Solar,BA1,2026,1,36,fraction,0.28
Solar,BA1,2026,1,37,fraction,0.421
Solar,BA1,2026,1,38,fraction,0.468
Solar,BA1,2026,1,39,fraction,0.333
Solar,BA1,2026,1,40,fraction,0.114
Solar,BA1,2026,1,41,fraction,0.0
Solar,BA1,2026,1,42,fraction,0.0
Solar,BA1,2026,1,43,fraction,0.0
Solar,BA1,2026,1,44,fraction,0.0
Solar,BA1,2026,1,45,fraction,0.0
Solar,BA1,2026,1,46,fraction,0.0
Solar,BA1,2026,1,47,fraction,0.0
Solar,BA1,2026,1,48,fraction,0.0
Solar,BA1,2027,1,1,fraction,0.0
Solar,BA1,2027,1,2,fraction,0.0
Solar,BA1,2027,1,3,fraction,0.0
Solar,BA1,2027,1,4,fraction,0.0
Solar,BA1,2027,1,5,fraction,0.0
Solar,BA1,2027,1,6,fraction,0.0
Solar,BA1,2027,1,7,fraction,0.0
Solar,BA1,2027,1,8,fraction,0.0
Solar,BA1,2027,1,9,fraction,0.011
Solar,BA1,2027,1,10,fraction,0.046
Solar,BA1,2027,1,11,fraction,0.09
Solar,BA1,2027,1,12,fraction,0.15
Solar,BA1,2027,1,13,fraction,0.223
Solar,BA1,2027,1,14,fraction,0.217
Solar,BA1,2027,1,15,fraction,0.2
Solar,BA1,2027,1,16,fraction,0.09
Solar,BA1,2027,1,17,fraction,0.0
Solar,BA1,2027,1,18,fraction,0.0
Solar,BA1,2027,1,19,fraction,0.0
Solar,BA1,2027,1,20,fraction,0.0
Solar,BA1,2027,1,21,fraction,0.0
Solar,BA1,2027,1,22,fraction,0.0
Solar,BA1,2027,1,23,fraction,0.0
Solar,BA1,2027,1,24,fraction,0.0
Solar,BA1,2027,1,25,fraction,0.0
Solar,BA1,2027,1,26,fraction,0.0
Solar,BA1,2027,1,27,fraction,0.0
Solar,BA1,2027,1,28,fraction,0.0
Solar,BA1,2027,1,29,fraction,0.0
Solar,BA1,2027,1,30,fraction,0.0
Solar,BA1,2027,1,31,fraction,0.0
Solar,BA1,2027,1,32,fraction,0.001
Solar,BA1,2027,1,33,fraction,0.13
Solar,BA1,2027,1,34,fraction,0.155
Solar,BA1,2027,1,35,fraction,0.136
Solar,BA1,2027,1,36,fraction,0.28
Solar,BA1,2027,1,37,fraction,0.421
Solar,BA1,2027,1,38,fraction,0.468
Solar,BA1,2027,1,39,fraction,0.333
Solar,BA1,2027,1,40,fraction,0.114
Solar,BA1,2027,1,41,fraction,0.0
Solar,BA1,2027,1,42,fraction,0.0
Solar,BA1,2027,1,43,fraction,0.0
Solar,BA1,2027,1,44,fraction,0.0
Solar,BA1,2027,1,45,fraction,0.0
Solar,BA1,2027,1,46,fraction,0.0
Solar,BA1,2027,1,47,fraction,0.0
Solar,BA1,2027,1,48,fraction,0.0
Solar,BA1,2028,1,1,fraction,0.0
Solar,BA1,2028,1,2,fraction,0.0
Solar,BA1,2028,1,3,fraction,0.0
Solar,BA1,2028,1,4,fraction,0.0
Solar,BA1,2028,1,5,fraction,0.0
Solar,BA1,2028,1,6,fraction,0.0
Solar,BA1,2028,1,7,fraction,0.0
Solar,BA1,2028,1,8,fraction,0.0
Solar,BA1,2028,1,9,fraction,0.011
Solar,BA1,2028,1,10,fraction,0.046
Solar,BA1,2028,1,11,fraction,0.09
Solar,BA1,2028,1,12,fraction,0.15
Solar,BA1,2028,1,13,fraction,0.223
Solar,BA1,2028,1,14,fraction,0.217
Solar,BA1,2028,1,15,fraction,0.2
Solar,BA1,2028,1,16,fraction,0.09
Solar,BA1,2028,1,17,fraction,0.0
Solar,BA1,2028,1,18,fraction,0.0
Solar,BA1,2028,1,19,fraction,0.0
Solar,BA1,2028,1,20,fraction,0.0
Solar,BA1,2028,1,21,fraction,0.0
Solar,BA1,2028,1,22,fraction,0.0
Solar,BA1,2028,1,23,fraction,0.0
Solar,BA1,2028,1,24,fraction,0.0
Solar,BA1,2028,1,25,fraction,0.0
Solar,BA1,2028,1,26,fraction,0.0
Solar,BA1,2028,1,27,fraction,0.0
Solar,BA1,2028,1,28,fraction,0.0
Solar,BA1,2028,1,29,fraction,0.0
Solar,BA1,2028,1,30,fraction,0.0
Solar,BA1,2028,1,31,fraction,0.0
Solar,BA1,2028,1,32,fraction,0.001
Solar,BA1,2028,1,33,fraction,0.13
Solar,BA1,2028,1,34,fraction,0.155
Solar,BA1,2028,1,35,fraction,0.136
Solar,BA1,2028,1,36,fraction,0.28
Solar,BA1,2028,1,37,fraction,0.421
Solar,BA1,2028,1,38,fraction,0.468
Solar,BA1,2028,1,39,fraction,0.333
Solar,BA1,2028,1,40,fraction,0.114
Solar,BA1,2028,1,41,fraction,0.0
Solar,BA1,2028,1,42,fraction,0.0
Solar,BA1,2028,1,43,fraction,0.0
Solar,BA1,2028,1,44,fraction,0.0
Solar,BA1,2028,1,45,fraction,0.0
Solar,BA1,2028,1,46,fraction,0.0
Solar,BA1,2028,1,47,fraction,0.0
Solar,BA1,2028,1,48,fraction,0.0
