tech,unit,generation_flow_max
Grand_Coulee,m3/s,6054.0
Chief_Joseph,m3/s,5000.0
Wells,m3/s,5114.0
Rocky_Reach,m3/s,5286.0
Rock_Island,m3/s,5383.0
Wanapum,m3/s,4737.0
Priest_Rapids,m3/s,4573.0
Lower_Granite,m3/s,3078.0
Little_Goose,m3/s,3005.0
Lower_Monumental,m3/s,3216.0
Ice_Harbor,m3/s,2299.0
McNary,m3/s,5853.0
John_Day,m3/s,7543.0
The_Dalles,m3/s,7033.0
Bonneville,m3/s,6759.0
