station_id,year,unit,value
1,1,m3,10147000000.0
1,2,m3,715000000.0
1,3,m3,103000000.0
1,4,m3,37000000.0
1,5,m3,12000000.0
1,6,m3,160000000.0
1,7,m3,44000000.0
1,8,m3,582000000.0
1,9,m3,614000000.0
1,10,m3,431000000.0
1,11,m3,498000000.00000006
1,12,m3,1550000000.0
1,13,m3,2988000000.0
1,14,m3,370000000.0
1,15,m3,886999999.9999999
