tech,unit,capacity_max
Grand_Coulee,MW,5054.0
Chief_Joseph,MW,2234.0
Wells,MW,741.0
Rocky_Reach,MW,1126.0
Rock_Island,MW,482.0
Wanapum,MW,890.0
Priest_Rapids,MW,828.0
Lower_Granite,MW,747.0
Little_Goose,MW,748.0
Lower_Monumental,MW,784.0
Ice_Harbor,MW,525.0
McNary,MW,1022.0
John_Day,MW,1943.0
The_Dalles,MW,1414.0
Bonneville,MW,921.0
