tech,unit,coefficient
Grand_Coulee,MW/(m*m3/s),8.83
Chief_Joseph,MW/(m*m3/s),8.93
Wells,MW/(m*m3/s),8.53
Rocky_Reach,MW/(m*m3/s),8.93
Rock_Island,MW/(m*m3/s),8.24
Wanapum,MW/(m*m3/s),8.44
Priest_Rapids,MW/(m*m3/s),8.24
Lower_Granite,MW/(m*m3/s),8.24
Little_Goose,MW/(m*m3/s),8.53
Lower_Monumental,MW/(m*m3/s),8.63
Ice_Harbor,MW/(m*m3/s),8.53
McNary,MW/(m*m3/s),8.34
John_Day,MW/(m*m3/s),8.63
The_Dalles,MW/(m*m3/s),8.83
Bonneville,MW/(m*m3/s),8.53
