tech,unit,zone
Grand_Coulee,zone_code,BA1
Chief_Joseph,zone_code,BA1
Wells,zone_code,BA1
Rocky_Reach,zone_code,BA1
Rock_Island,zone_code,BA1
Wanapum,zone_code,BA1
Priest_Rapids,zone_code,BA1
Lower_Granite,zone_code,BA2
Little_Goose,zone_code,BA2
Lower_Monumental,zone_code,BA2
Ice_Harbor,zone_code,BA2
McNary,zone_code,BA3
John_Day,zone_code,BA3
The_Dalles,zone_code,BA3
Bonneville,zone_code,BA3
