station_id,name,unit,head
1,Grand Coulee,m,100.0
2,Chief Joseph,m,53.0
3,Wells,m,22.0
4,Rocky Reach,m,28.0
5,Rock Island,m,16.0
6,Wanapum,m,24.0
7,Priest Rapids,m,25.0
8,Lower Granite,m,31.0
9,Little Goose,m,30.0
10,Lower Monumental,m,30.0
11,Ice Harbor,m,30.0
12,McNary,m,23.0
13,John Day,m,32.0
14,The Dalles,m,25.0
15,Bonneville,m,18.0
