upstream_station_id,downstream_station_id,delay
1,2,1
2,3,0
3,4,1
4,5,0
5,6,2
6,7,1
8,9,1
9,10,1
10,11,1
7,12,2
11,12,1
12,13,2
13,14,1
14,15,1
