tech,unit,value
Coal,fraction,0.2
Solar,fraction,0.2
Wind,fraction,0.2
Storage,fraction,0.2
Grand_Coulee,fraction,0.2
Chief_Joseph,fraction,0.2
Wells,fraction,0.2
Rocky_Reach,fraction,0.2
Rock_Island,fraction,0.2
Wanapum,fraction,0.2
Priest_Rapids,fraction,0.2
Lower_Granite,fraction,0.2
Little_Goose,fraction,0.2
Lower_Monumental,fraction,0.2
Ice_Harbor,fraction,0.2
McNary,fraction,0.2
John_Day,fraction,0.2
The_Dalles,fraction,0.2
Bonneville,fraction,0.2
