tech,zone,unit,value
Coal,BA1,fraction,0.0
Coal,BA2,fraction,0.0
Hydro,BA1,fraction,11355.0
Hydro,BA2,fraction,5300.0
Solar,BA1,fraction,0.0
Solar,BA2,fraction,0.0
Wind,BA1,fraction,0.0
Wind,BA2,fraction,0.0
Storage,BA1,fraction,0.0
Storage,BA2,fraction,0.0
