year,unit,value
2020,fraction,0.07
2021,fraction,0.07
2022,fraction,0.07
2023,fraction,0.07
2024,fraction,0.07
2025,fraction,0.07
2026,fraction,0.07
2027,fraction,0.07
2028,fraction,0.07
2029,fraction,0.07
2030,fraction,0.07
