station_id,year,month,hour,unit,value
1,2020,1,1,m3/s,2576.8
1,2020,1,2,m3/s,2576.8
1,2020,1,3,m3/s,2576.8
1,2020,1,4,m3/s,2576.8
1,2020,1,5,m3/s,2576.8
1,2020,1,6,m3/s,2576.8
1,2020,1,7,m3/s,2576.8
1,2020,1,8,m3/s,2576.8
1,2020,1,9,m3/s,2576.8
1,2020,1,10,m3/s,2576.8
1,2020,1,11,m3/s,2576.8
1,2020,1,12,m3/s,2576.8
1,2020,1,13,m3/s,2576.8
1,2020,1,14,m3/s,2576.8
1,2020,1,15,m3/s,2576.8
1,2020,1,16,m3/s,2576.8
1,2020,1,17,m3/s,2576.8
1,2020,1,18,m3/s,2576.8
1,2020,1,19,m3/s,2576.8
1,2020,1,20,m3/s,2576.8
1,2020,1,21,m3/s,2576.8
1,2020,1,22,m3/s,2576.8
1,2020,1,23,m3/s,2576.8
1,2020,1,24,m3/s,2576.8
1,2020,1,25,m3/s,2231.4
1,2020,1,26,m3/s,2231.4
1,2020,1,27,m3/s,2231.4
1,2020,1,28,m3/s,2231.4
1,2020,1,29,m3/s,2231.4
1,2020,1,30,m3/s,2231.4
1,2020,1,31,m3/s,2231.4
1,2020,1,32,m3/s,2231.4
1,2020,1,33,m3/s,2231.4
1,2020,1,34,m3/s,2231.4
1,2020,1,35,m3/s,2231.4
1,2020,1,36,m3/s,2231.4
1,2020,1,37,m3/s,2231.4
1,2020,1,38,m3/s,2231.4
1,2020,1,39,m3/s,2231.4
1,2020,1,40,m3/s,2231.4
1,2020,1,41,m3/s,2231.4
1,2020,1,42,m3/s,2231.4
1,2020,1,43,m3/s,2231.4
1,2020,1,44,m3/s,2231.4
1,2020,1,45,m3/s,2231.4
1,2020,1,46,m3/s,2231.4
1,2020,1,47,m3/s,2231.4
1,2020,1,48,m3/s,2231.4
1,2021,1,1,m3/s,2426.8
1,2021,1,2,m3/s,2426.8
1,2021,1,3,m3/s,2426.8
1,2021,1,4,m3/s,2426.8
1,2021,1,5,m3/s,2426.8
1,2021,1,6,m3/s,2426.8
1,2021,1,7,m3/s,2426.8
1,2021,1,8,m3/s,2426.8
1,2021,1,9,m3/s,2426.8
1,2021,1,10,m3/s,2426.8
1,2021,1,11,m3/s,2426.8
1,2021,1,12,m3/s,2426.8
1,2021,1,13,m3/s,2426.8
1,2021,1,14,m3/s,2426.8
1,2021,1,15,m3/s,2426.8
1,2021,1,16,m3/s,2426.8
1,2021,1,17,m3/s,2426.8
1,2021,1,18,m3/s,2426.8
1,2021,1,19,m3/s,2426.8
1,2021,1,20,m3/s,2426.8
1,2021,1,21,m3/s,2426.8
1,2021,1,22,m3/s,2426.8
