tech,unit,capacity_min
Grand_Coulee,MW,0.0
Chief_Joseph,MW,0.0
Wells,MW,0.0
Rocky_Reach,MW,0.0
Rock_Island,MW,0.0
Wanapum,MW,0.0
Priest_Rapids,MW,0.0
Lower_Granite,MW,0.0
Little_Goose,MW,0.0
Lower_Monumental,MW,0.0
Ice_Harbor,MW,0.0
McNary,MW,0.0
John_Day,MW,0.0
The_Dalles,MW,0.0
Bonneville,MW,0.0
