tech,unit,generation_flow_max
h16,m3/s,10000.0
h13,m3/s,10000.0
h9,m3/s,10000.0
h11,m3/s,10000.0
h17,m3/s,10000.0
h14,m3/s,10000.0
h6,m3/s,10000.0
h4,m3/s,10000.0
h2,m3/s,10000.0
h10,m3/s,10000.0
h5,m3/s,10000.0
h1,m3/s,10000.0
h3,m3/s,10000.0
h7,m3/s,10000.0
