tech,unit,value
h16,m3,794914375.0
h13,m3,6731000000.0
h9,m3,90535000.0
h11,m3,158368000.0
h17,m3,4242000000.0
h14,m3,5254159950.0
h6,m3,983000000.0
h4,m3,8900000000.0
h2,m3,29088000.0
h10,m3,2320000000.0
h5,m3,5499999765.0
h1,m3,450000000.0
h3,m3,112450000.0
h7,m3,119180000.0
