tech,unit,capacity_min
h16,MW,0.0
h13,MW,0.0
h9,MW,0.0
h11,MW,0.0
h17,MW,0.0
h14,MW,0.0
h6,MW,0.0
h4,MW,0.0
h2,MW,0.0
h10,MW,0.0
h5,MW,0.0
h1,MW,0.0
h3,MW,0.0
h7,MW,0.0
