tech,unit,capacity_max
h16,MW,73.28
h13,MW,744.0
h9,MW,40.0
h11,MW,6.3
h17,MW,240.0
h14,MW,500.0
h6,MW,36.0
h4,MW,720.0
h2,MW,36.0
h10,MW,25.2
h5,MW,300.0
h1,MW,19.0
h3,MW,11.0
h7,MW,136.0
