tech,year,unit,value
BirlaC,2023,dollar/MWh,0.11
UACE,2023,dollar/MWh,0.45
KhonKSPP1,2023,dollar/MWh,0.12
MitrPB3,2023,dollar/MWh,0.12
MitrPB4,2023,dollar/MWh,0.12
KasetTB,2023,dollar/MWh,0.12
ESE,2023,dollar/MWh,0.12
UthaiTBE,2023,dollar/MWh,0.12
TPIPP,2023,dollar/MWh,25.1
RuamkalamP,2023,dollar/MWh,0.12
TPIPP1,2023,dollar/MWh,25.1
ThaiEP,2023,dollar/MWh,0.12
RuamphonB,2023,dollar/MWh,0.12
ESE1,2023,dollar/MWh,0.12
TPIPP2,2023,dollar/MWh,25.1
MitrPB5,2023,dollar/MWh,0.12
RuamphonB1,2023,dollar/MWh,0.12
GulfCG,2023,dollar/MWh,0.12
PattaniG,2023,dollar/MWh,0.12
B.GrimAT2,2023,dollar/MWh,0.45
B.GrimAT3,2023,dollar/MWh,0.45
SuperSE,2023,dollar/MWh,0.0
NaturalED,2023,dollar/MWh,0.0
BCPG,2023,dollar/MWh,0.0
EASNS,2023,dollar/MWh,0.0
Sermsangpalang,2023,dollar/MWh,0.0
EASL,2023,dollar/MWh,0.0
SPPS,2023,dollar/MWh,0.0
EASP,2023,dollar/MWh,0.0
FirstKW,2023,dollar/MWh,0.0
K.R.Two,2023,dollar/MWh,0.0
KhaoKWP,2023,dollar/MWh,0.0
ChaiyaphumWF,2023,dollar/MWh,0.0
WatabaekW,2023,dollar/MWh,0.0
Pattanawind,2023,dollar/MWh,0.0
EAWH3,2023,dollar/MWh,0.0
EAWH31,2023,dollar/MWh,0.0
EAWH32,2023,dollar/MWh,0.0
GreenovationP,2023,dollar/MWh,0.0
KoratWE,2023,dollar/MWh,0.0
K.R.S.T,2023,dollar/MWh,0.0
TropicalW,2023,dollar/MWh,0.0
TheparakW,2023,dollar/MWh,0.0
KritsanaWP,2023,dollar/MWh,0.0
NayangklakD,2023,dollar/MWh,0.0
NayangklakWP,2023,dollar/MWh,0.0
K.R.One,2023,dollar/MWh,0.0
PongnokD,2023,dollar/MWh,0.0
BencharatP,2023,dollar/MWh,0.0
Winchai,2023,dollar/MWh,0.0
BanCD,2023,dollar/MWh,0.0
h16,2023,dollar/MWh,0.0
h13,2023,dollar/MWh,0.0
h9,2023,dollar/MWh,0.0
h11,2023,dollar/MWh,0.0
h17,2023,dollar/MWh,0.0
h14,2023,dollar/MWh,0.0
h6,2023,dollar/MWh,0.0
h4,2023,dollar/MWh,0.0
h2,2023,dollar/MWh,0.0
h10,2023,dollar/MWh,0.0
h5,2023,dollar/MWh,0.0
h1,2023,dollar/MWh,0.0
h3,2023,dollar/MWh,0.0
h7,2023,dollar/MWh,0.0
NTN2,2023,dollar/MWh,0.0
XYB,2023,dollar/MWh,0.0
XPXN,2023,dollar/MWh,0.0
THB,2023,dollar/MWh,0.0
NNP1,2023,dollar/MWh,0.0
NNG2,2023,dollar/MWh,0.0
HHO,2023,dollar/MWh,0.0
import_Hongsa,2023,dollar/MWh,0.0
import_ThaKhaek,2023,dollar/MWh,0.0
import_ThaNaLaeng,2023,dollar/MWh,0.0
import_PakLay,2023,dollar/MWh,0.0
import_PakBo,2023,dollar/MWh,0.0
import_Paksan,2023,dollar/MWh,0.0
import_PhonThong,2023,dollar/MWh,0.0
