zone1,zone2,year,unit,capacity_max,capacity_min
bus147,bus141,2023,MW,0.0,0.0
bus141,bus147,2023,MW,0.0,0.0
bus149,bus147,2023,MW,0.0,0.0
bus147,bus149,2023,MW,0.0,0.0
bus149,bus148,2023,MW,0.0,0.0
bus148,bus149,2023,MW,0.0,0.0
bus15,bus24,2023,MW,0.0,0.0
bus24,bus15,2023,MW,0.0,0.0
bus150,bus149,2023,MW,0.0,0.0
bus149,bus150,2023,MW,0.0,0.0
bus151,bus131,2023,MW,0.0,0.0
bus131,bus151,2023,MW,0.0,0.0
bus151,bus150,2023,MW,0.0,0.0
bus150,bus151,2023,MW,0.0,0.0
bus152,bus133,2023,MW,0.0,0.0
bus133,bus152,2023,MW,0.0,0.0
bus155,bus153,2023,MW,0.0,0.0
bus153,bus155,2023,MW,0.0,0.0
bus155,bus154,2023,MW,0.0,0.0
bus154,bus155,2023,MW,0.0,0.0
bus156,bus157,2023,MW,0.0,0.0
bus157,bus156,2023,MW,0.0,0.0
bus156,bus198,2023,MW,0.0,0.0
bus198,bus156,2023,MW,0.0,0.0
bus156,bus201,2023,MW,0.0,0.0
bus201,bus156,2023,MW,0.0,0.0
bus157,bus155,2023,MW,0.0,0.0
bus155,bus157,2023,MW,0.0,0.0
bus158,bus156,2023,MW,0.0,0.0
bus156,bus158,2023,MW,0.0,0.0
bus159,bus163,2023,MW,0.0,0.0
bus163,bus159,2023,MW,0.0,0.0
bus159,bus183,2023,MW,0.0,0.0
bus183,bus159,2023,MW,0.0,0.0
bus159,bus187,2023,MW,0.0,0.0
bus187,bus159,2023,MW,0.0,0.0
bus160,bus158,2023,MW,0.0,0.0
bus158,bus160,2023,MW,0.0,0.0
bus160,bus159,2023,MW,0.0,0.0
bus159,bus160,2023,MW,0.0,0.0
bus160,bus161,2023,MW,0.0,0.0
bus161,bus160,2023,MW,0.0,0.0
bus160,bus167,2023,MW,0.0,0.0
bus167,bus160,2023,MW,0.0,0.0
bus160,bus172,2023,MW,0.0,0.0
bus172,bus160,2023,MW,0.0,0.0
bus161,bus162,2023,MW,0.0,0.0
bus162,bus161,2023,MW,0.0,0.0
bus161,bus196,2023,MW,0.0,0.0
bus196,bus161,2023,MW,0.0,0.0
bus162,bus163,2023,MW,0.0,0.0
bus163,bus162,2023,MW,0.0,0.0
bus162,bus164,2023,MW,0.0,0.0
bus164,bus162,2023,MW,0.0,0.0
bus163,bus170,2023,MW,0.0,0.0
bus170,bus163,2023,MW,0.0,0.0
bus164,bus166,2023,MW,0.0,0.0
bus166,bus164,2023,MW,0.0,0.0
bus165,bus171,2023,MW,0.0,0.0
bus171,bus165,2023,MW,0.0,0.0
bus166,bus165,2023,MW,0.0,0.0
bus165,bus166,2023,MW,0.0,0.0
bus166,bus171,2023,MW,0.0,0.0
bus171,bus166,2023,MW,0.0,0.0
bus167,bus168,2023,MW,0.0,0.0
bus168,bus167,2023,MW,0.0,0.0
bus168,bus169,2023,MW,0.0,0.0
bus169,bus168,2023,MW,0.0,0.0
bus169,bus194,2023,MW,0.0,0.0
bus194,bus169,2023,MW,0.0,0.0
bus169,bus197,2023,MW,0.0,0.0
bus197,bus169,2023,MW,0.0,0.0
bus17,bus19,2023,MW,0.0,0.0
bus19,bus17,2023,MW,0.0,0.0
bus17,bus4,2023,MW,0.0,0.0
bus4,bus17,2023,MW,0.0,0.0
bus170,bus172,2023,MW,0.0,0.0
bus172,bus170,2023,MW,0.0,0.0
bus171,bus152,2023,MW,0.0,0.0
bus152,bus171,2023,MW,0.0,0.0
bus172,bus127,2023,MW,0.0,0.0
bus127,bus172,2023,MW,0.0,0.0
bus172,bus145,2023,MW,0.0,0.0
bus145,bus172,2023,MW,0.0,0.0
bus173,bus170,2023,MW,0.0,0.0
bus170,bus173,2023,MW,0.0,0.0
bus174,bus175,2023,MW,0.0,0.0
bus175,bus174,2023,MW,0.0,0.0
bus174,bus176,2023,MW,0.0,0.0
bus176,bus174,2023,MW,0.0,0.0
bus175,bus179,2023,MW,0.0,0.0
bus179,bus175,2023,MW,0.0,0.0
bus176,bus173,2023,MW,0.0,0.0
bus173,bus176,2023,MW,0.0,0.0
bus176,bus175,2023,MW,0.0,0.0
bus175,bus176,2023,MW,0.0,0.0
bus176,bus181,2023,MW,0.0,0.0
bus181,bus176,2023,MW,0.0,0.0
bus177,bus176,2023,MW,0.0,0.0
bus176,bus177,2023,MW,0.0,0.0
bus178,bus177,2023,MW,0.0,0.0
bus177,bus178,2023,MW,0.0,0.0
