zone1,zone2,unit,value
bus2,bus3,MW/rad,13924.0
bus2,bus8,MW/rad,6962.0
bus2,bus9,MW/rad,6962.0
bus198,bus200,MW/rad,1000.0
bus197,bus202,MW/rad,6962.0
bus202,bus203,MW/rad,6962.0
bus204,bus205,MW/rad,6962.0
bus205,bus207,MW/rad,1688.0
bus205,bus206,MW/rad,1000.0
bus207,bus208,MW/rad,6962.0
bus208,bus387,MW/rad,6962.0
bus209,bus405,MW/rad,1000.0
bus21,bus7,MW/rad,6962.0
bus210,bus403,MW/rad,1000.0
bus211,bus229,MW/rad,6962.0
bus213,bus358,MW/rad,1688.0
bus214,bus231,MW/rad,1000.0
bus216,bus217,MW/rad,1688.0
bus216,bus388,MW/rad,1688.0
bus217,bus218,MW/rad,1000.0
bus218,bus220,MW/rad,1688.0
bus17,bus22,MW/rad,1688.0
bus22,bus58,MW/rad,1688.0
bus220,bus221,MW/rad,1688.0
bus221,bus224,MW/rad,1688.0
bus222,bus225,MW/rad,1000.0
bus222,bus261,MW/rad,1688.0
bus222,bus268,MW/rad,1688.0
bus222,bus223,MW/rad,2532.0
bus223,bus229,MW/rad,13924.0
bus114,bus224,MW/rad,1688.0
bus180,bus224,MW/rad,1688.0
bus223,bus224,MW/rad,5066.0
bus226,bus227,MW/rad,1000.0
bus226,bus228,MW/rad,1000.0
bus225,bus227,MW/rad,1000.0
bus227,bus229,MW/rad,6962.0
bus214,bus229,MW/rad,6962.0
bus215,bus229,MW/rad,6962.0
bus219,bus229,MW/rad,6962.0
bus229,bus233,MW/rad,6962.0
bus229,bus234,MW/rad,6962.0
bus229,bus265,MW/rad,6962.0
bus23,bus24,MW/rad,1688.0
bus23,bus43,MW/rad,6596.0
bus23,bus57,MW/rad,1688.0
bus233,bus236,MW/rad,6962.0
bus233,bus261,MW/rad,1688.0
bus234,bus235,MW/rad,3378.0
bus234,bus236,MW/rad,6962.0
bus234,bus243,MW/rad,1688.0
bus213,bus236,MW/rad,6962.0
bus236,bus255,MW/rad,6962.0
bus230,bus238,MW/rad,1000.0
bus237,bus238,MW/rad,1000.0
bus238,bus242,MW/rad,1000.0
bus238,bus243,MW/rad,1688.0
bus238,bus344,MW/rad,1000.0
bus238,bus239,MW/rad,2532.0
bus239,bus263,MW/rad,2532.0
bus17,bus24,MW/rad,1688.0
bus24,bus27,MW/rad,1688.0
bus240,bus344,MW/rad,1000.0
bus240,bus345,MW/rad,1000.0
