zone1,zone2,unit,value
bus161,bus196,fraction,0.95
bus196,bus161,fraction,0.95
bus162,bus163,fraction,0.95
bus163,bus162,fraction,0.95
bus162,bus164,fraction,0.95
bus164,bus162,fraction,0.95
bus163,bus170,fraction,0.95
bus170,bus163,fraction,0.95
bus164,bus166,fraction,0.95
bus166,bus164,fraction,0.95
bus165,bus171,fraction,0.95
bus171,bus165,fraction,0.95
bus166,bus165,fraction,0.95
bus165,bus166,fraction,0.95
bus166,bus171,fraction,0.95
bus171,bus166,fraction,0.95
bus167,bus168,fraction,0.95
bus168,bus167,fraction,0.95
bus168,bus169,fraction,0.95
bus169,bus168,fraction,0.95
bus169,bus194,fraction,0.95
bus194,bus169,fraction,0.95
bus169,bus197,fraction,0.95
bus197,bus169,fraction,0.95
bus17,bus19,fraction,0.95
bus19,bus17,fraction,0.95
bus17,bus4,fraction,0.95
bus4,bus17,fraction,0.95
bus170,bus172,fraction,0.95
bus172,bus170,fraction,0.95
bus171,bus152,fraction,0.95
bus152,bus171,fraction,0.95
bus172,bus127,fraction,0.95
bus127,bus172,fraction,0.95
bus172,bus145,fraction,0.95
bus145,bus172,fraction,0.95
bus173,bus170,fraction,0.95
bus170,bus173,fraction,0.95
bus174,bus175,fraction,0.95
bus175,bus174,fraction,0.95
bus174,bus176,fraction,0.95
bus176,bus174,fraction,0.95
bus175,bus179,fraction,0.95
bus179,bus175,fraction,0.95
bus176,bus173,fraction,0.95
bus173,bus176,fraction,0.95
bus176,bus175,fraction,0.95
bus175,bus176,fraction,0.95
bus176,bus181,fraction,0.95
bus181,bus176,fraction,0.95
bus177,bus176,fraction,0.95
bus176,bus177,fraction,0.95
bus178,bus177,fraction,0.95
bus177,bus178,fraction,0.95
bus178,bus181,fraction,0.95
bus181,bus178,fraction,0.95
bus179,bus118,fraction,0.95
bus118,bus179,fraction,0.95
bus179,bus178,fraction,0.95
bus178,bus179,fraction,0.95
bus179,bus180,fraction,0.95
bus180,bus179,fraction,0.95
bus18,bus21,fraction,0.95
bus21,bus18,fraction,0.95
bus180,bus181,fraction,0.95
bus181,bus180,fraction,0.95
bus181,bus117,fraction,0.95
bus117,bus181,fraction,0.95
bus181,bus224,fraction,0.95
bus224,bus181,fraction,0.95
bus182,bus178,fraction,0.95
bus178,bus182,fraction,0.95
bus182,bus185,fraction,0.95
bus185,bus182,fraction,0.95
bus183,bus190,fraction,0.95
bus190,bus183,fraction,0.95
bus185,bus184,fraction,0.95
bus184,bus185,fraction,0.95
bus185,bus186,fraction,0.95
bus186,bus185,fraction,0.95
bus186,bus193,fraction,0.95
bus193,bus186,fraction,0.95
bus186,bus195,fraction,0.95
bus195,bus186,fraction,0.95
bus187,bus190,fraction,0.95
bus190,bus187,fraction,0.95
bus187,bus192,fraction,0.95
bus192,bus187,fraction,0.95
bus188,bus229,fraction,0.95
bus229,bus188,fraction,0.95
bus189,bus182,fraction,0.95
bus182,bus189,fraction,0.95
bus189,bus190,fraction,0.95
bus190,bus189,fraction,0.95
bus19,bus20,fraction,0.95
bus20,bus19,fraction,0.95
bus190,bus192,fraction,0.95
bus192,bus190,fraction,0.95
bus190,bus221,fraction,0.95
bus221,bus190,fraction,0.95
bus191,bus189,fraction,0.95
