tech,unit,head
h16,m,58.0
h13,m,100.0
h9,m,56.0
h11,m,32.0
h17,m,75.2
h14,m,84.3
h6,m,33.6
h4,m,105.0
h2,m,24.0
h10,m,28.0
h5,m,63.0
h1,m,46.40000000000001
h3,m,74.4
h7,m,11.6
