tech,unit,coefficient
h16,MW/(m*m3/s),8.3385
h13,MW/(m*m3/s),8.3385
h9,MW/(m*m3/s),8.3385
h11,MW/(m*m3/s),7.848000000000001
h17,MW/(m*m3/s),8.3385
h14,MW/(m*m3/s),8.3385
h6,MW/(m*m3/s),8.3385
h4,MW/(m*m3/s),8.3385
h2,MW/(m*m3/s),8.3385
h10,MW/(m*m3/s),7.848000000000001
h5,MW/(m*m3/s),8.3385
h1,MW/(m*m3/s),7.848000000000001
h3,MW/(m*m3/s),7.848000000000001
h7,MW/(m*m3/s),8.3385
