station_id,year,unit,value
1,218,m3,1002000000.0
1,343,m3,800000.0
1,327,m3,300000.0
1,237,m3,15000000.0
1,151,m3,4500.0
1,117,m3,674000.0
1,351,m3,108540000.0
1,212,m3,2970000000.0
1,215,m3,826000000.0
1,389,m3,1682999999.9999998
1,366,m3,1000000.0
1,236,m3,2262000000.0
1,207,m3,1411000000.0
1,234,m3,2921000000.0
1,214,m3,1192000000.0
1,224,m3,4700000.0
1,171,m3,675500000.0
1,375,m3,121000000.0
1,404,m3,505000000.0
1,323,m3,1700000000.0
1,441,m3,115000000.0
1,175,m3,89000000.0
1,162,m3,25400000.0
1,134,m3,1145000000.0
1,127,m3,142000000.0
1,119,m3,246000000.0
1,112,m3,1060000000.0
1,219,m3,6800000.0
1,144,m3,2331000000.0
1,181,m3,349600.0
1,206,m3,212000000.0
1,374,m3,20800000.0
1,365,m3,333000000.0
1,195,m3,528000000.0
1,194,m3,48000000.0
1,209,m3,498600000.0000001
1,226,m3,250000000.0
1,132,m3,5100000.0
1,331,m3,1352413000.0
1,367,m3,8800000.000000002
1,409,m3,30580000.0
1,448,m3,333200000.0
1,410,m3,948000000.0
1,415,m3,779020000.0
1,416,m3,3800000.0
1,419,m3,4000000.0
1,428,m3,264160000.0
1,430,m3,7500000.0
1,527,m3,522600000.0
1,514,m3,25630000.0
1,511,m3,1500000.0
1,504,m3,62850000.0
1,502,m3,8439999.999999998
1,302,m3,20000000.0
1,358,m3,125000000.0
1,284,m3,1695000000.0
1,392,m3,299600000.0
