zone,year,unit,value
Cambodia,2020,USD/tonneCO2,0.0
Cambodia,2030,USD/tonneCO2,0.0
Laos,2020,USD/tonneCO2,0.0
Laos,2030,USD/tonneCO2,0.0
Myanmar,2020,USD/tonneCO2,0.0
Myanmar,2030,USD/tonneCO2,0.0
Thailand,2020,USD/tonneCO2,0.0
Thailand,2030,USD/tonneCO2,0.0
Vietnam,2020,USD/tonneCO2,0.0
Vietnam,2030,USD/tonneCO2,0.0
