tech,zone,unit,value
HPS,Cambodia,fraction,0.5
HPS,Laos,fraction,0.5
HPS,Myanmar,fraction,0.5
HPS,Thailand,fraction,0.5
HPS,Vietnam,fraction,0.5
Li-ion,Cambodia,fraction,0.5
Li-ion,Laos,fraction,0.5
Li-ion,Myanmar,fraction,0.5
Li-ion,Thailand,fraction,0.5
Li-ion,Vietnam,fraction,0.5
