zone,year,unit,value
Cambodia,2020,fraction,0.07
Laos,2020,fraction,0.07
Myanmar,2020,fraction,0.07
Thailand,2020,fraction,0.07
Vietnam,2020,fraction,0.07
Cambodia,2030,fraction,0.07
Laos,2030,fraction,0.07
Myanmar,2030,fraction,0.07
Thailand,2030,fraction,0.07
Vietnam,2030,fraction,0.07
