zone,year,unit,value
Cambodia,2020,USD,inf
Cambodia,2030,USD,inf
Laos,2020,USD,inf
Laos,2030,USD,inf
Myanmar,2020,USD,inf
Myanmar,2030,USD,inf
Thailand,2020,USD,inf
Thailand,2030,USD,inf
Vietnam,2020,USD,inf
Vietnam,2030,USD,inf
