tech,unit,head
Grand_Coulee,m,100.0
Chief_Joseph,m,53.0
Wells,m,22.0
Rocky_Reach,m,28.0
Rock_Island,m,16.0
Wanapum,m,24.0
Priest_Rapids,m,25.0
Lower_Granite,m,31.0
Little_Goose,m,30.0
Lower_Monumental,m,30.0
Ice_Harbor,m,30.0
McNary,m,23.0
John_Day,m,32.0
The_Dalles,m,25.0
Bonneville,m,18.0
